School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,28,9,19,.321,3.23,57.32142857142857,61.5,19.035714285714285,41.107142857142854,.463,7.428571428571429,19.928571428571427,.373,11.821428571428571,16.607142857142858,.712,5.5,21.928571428571427,11.678571428571429,8.142857142857142,1.3928571428571428,13.928571428571429,23.733333333333334,False
Akron,31,10,21,.323,0.36,69.48387096774194,74.3225806451613,22.870967741935484,51.0,.448,5.870967741935484,15.838709677419354,.371,17.870967741935484,23.580645161290324,.758,9.516129032258064,30.096774193548388,13.419354838709678,5.806451612903226,2.4838709677419355,14.516129032258064,23.733333333333334,False
Alabama A&M,29,19,10,.655,-15.81,79.93103448275862,73.20689655172414,28.06896551724138,69.3103448275862,.405,7.310344827586207,23.482758620689655,.311,16.482758620689655,24.517241379310345,.672,17.448275862068964,41.96551724137931,14.689655172413794,13.620689655172415,4.0,17.379310344827587,23.733333333333334,False
Alabama-Birmingham,30,13,17,.433,2.96,70.33333333333333,67.73333333333333,24.633333333333333,58.766666666666666,.419,6.8,19.5,.349,14.266666666666667,20.766666666666666,.687,12.533333333333333,37.233333333333334,14.433333333333334,7.7,2.9,14.933333333333334,23.733333333333334,False
Alabama State,32,19,13,.594,-14.15,65.46875,64.59375,22.34375,52.53125,.425,5.6875,16.65625,.341,15.09375,23.59375,.640,12.15625,36.46875,9.8125,6.78125,2.78125,16.8125,23.733333333333334,False
Alabama NCAA,35,27,8,.771,7.67,75.94285714285714,66.68571428571428,26.0,59.17142857142857,.439,6.2,20.085714285714285,.309,17.742857142857144,24.114285714285714,.736,14.542857142857143,39.114285714285714,13.142857142857142,7.3428571428571425,3.2285714285714286,14.0,23.733333333333334,True
Albany (NY),28,8,20,.286,-8.85,56.892857142857146,65.03571428571429,21.214285714285715,54.92857142857143,.386,5.821428571428571,17.75,.328,8.642857142857142,12.892857142857142,.670,11.071428571428571,32.285714285714285,10.178571428571429,6.964285714285714,2.9642857142857144,14.464285714285714,23.733333333333334,False
Alcorn State NCAA,31,21,10,.677,-14.18,79.7741935483871,76.58064516129032,29.032258064516128,62.41935483870968,.465,5.580645161290323,14.774193548387096,.378,16.129032258064516,25.06451612903226,.644,14.612903225806452,40.096774193548384,16.0,8.32258064516129,4.032258064516129,17.35483870967742,23.733333333333334,True
American,30,18,12,.600,-6.20,65.9,64.7,22.666666666666668,50.233333333333334,.451,7.166666666666667,20.133333333333333,.356,13.4,18.466666666666665,.726,9.066666666666666,32.766666666666666,13.733333333333333,6.7,2.6,16.066666666666666,23.733333333333334,False
Appalachian State,28,10,18,.357,-0.65,76.42857142857143,78.96428571428571,26.607142857142858,60.714285714285715,.438,6.071428571428571,17.178571428571427,.353,17.142857142857142,25.107142857142858,.683,13.107142857142858,37.42857142857143,15.214285714285714,8.607142857142858,2.75,17.142857142857142,23.733333333333334,False
Arizona State,29,14,15,.483,6.79,76.86206896551724,73.86206896551724,28.0,61.51724137931034,.455,4.9655172413793105,14.862068965517242,.334,15.89655172413793,24.24137931034483,.656,14.310344827586206,36.89655172413793,16.379310344827587,7.172413793103448,2.6551724137931036,15.10344827586207,23.733333333333334,False
Arizona NCAA,34,24,10,.706,12.49,82.1470588235294,77.70588235294117,27.5,59.970588235294116,.459,7.588235294117647,20.176470588235293,.376,19.558823529411764,26.764705882352942,.731,12.647058823529411,37.8235294117647,15.5,6.088235294117647,3.0294117647058822,14.058823529411764,23.733333333333334,True
Little Rock,29,18,11,.621,-2.52,74.20689655172414,66.89655172413794,25.724137931034484,55.06896551724138,.467,7.241379310344827,18.82758620689655,.385,15.517241379310345,22.03448275862069,.704,11.172413793103448,35.6551724137931,13.344827586206897,9.344827586206897,2.1724137931034484,16.413793103448278,23.733333333333334,False
Arkansas-Pine Bluff,28,2,26,.071,-8.70,66.14285714285714,84.92857142857143,23.107142857142858,63.892857142857146,.362,5.107142857142857,18.928571428571427,.270,14.821428571428571,22.428571428571427,.661,13.214285714285714,34.42857142857143,10.642857142857142,11.107142857142858,2.357142857142857,18.964285714285715,23.733333333333334,False
Arkansas State,31,15,16,.484,-1.98,72.87096774193549,66.96774193548387,26.64516129032258,58.54838709677419,.455,6.129032258064516,17.419354838709676,.352,13.451612903225806,18.548387096774192,.725,13.0,37.225806451612904,13.225806451612904,7.419354838709677,5.354838709677419,14.838709677419354,23.733333333333334,False
Arkansas,29,14,15,.483,10.13,74.86206896551724,72.6896551724138,26.724137931034484,61.275862068965516,.436,8.0,23.93103448275862,.334,13.413793103448276,20.620689655172413,.651,11.0,32.06896551724138,15.344827586206897,10.551724137931034,3.413793103448276,14.241379310344827,23.733333333333334,False
Army,28,12,16,.429,-7.44,66.82142857142857,70.07142857142857,23.214285714285715,54.214285714285715,.428,5.178571428571429,15.178571428571429,.341,15.214285714285714,21.285714285714285,.715,10.214285714285714,32.642857142857146,11.642857142857142,5.785714285714286,2.642857142857143,14.714285714285714,23.733333333333334,False
Auburn,28,12,16,.429,7.96,65.53571428571429,66.60714285714286,23.535714285714285,56.25,.418,5.821428571428571,18.464285714285715,.315,12.642857142857142,21.321428571428573,.593,12.892857142857142,36.107142857142854,13.25,8.178571428571429,5.392857142857143,17.964285714285715,23.733333333333334,False
Austin Peay,32,14,18,.438,-1.02,70.46875,70.40625,25.09375,55.78125,.450,6.25,18.875,.331,14.03125,21.9375,.640,10.5,34.3125,11.96875,7.28125,4.1875,14.65625,23.733333333333334,False
Ball State,35,23,12,.657,3.29,78.02857142857142,71.91428571428571,26.485714285714284,58.885714285714286,.450,8.857142857142858,23.285714285714285,.380,16.2,21.485714285714284,.754,11.228571428571428,35.8,12.057142857142857,6.228571428571429,3.942857142857143,12.657142857142857,23.733333333333334,False
Baylor,30,14,16,.467,5.08,76.53333333333333,72.2,26.666666666666668,60.7,.439,9.1,24.866666666666667,.366,14.1,19.633333333333333,.718,12.366666666666667,36.1,17.133333333333333,9.266666666666667,3.8666666666666667,14.266666666666667,23.733333333333334,False
Belmont,28,11,17,.393,-3.39,72.14285714285714,75.85714285714286,24.928571428571427,53.0,.470,9.428571428571429,25.392857142857142,.371,12.857142857142858,17.035714285714285,.755,9.821428571428571,31.0,18.071428571428573,6.178571428571429,1.3214285714285714,16.321428571428573,23.733333333333334,False
Bethune-Cookman,29,12,17,.414,-8.26,68.37931034482759,73.79310344827586,23.17241379310345,54.03448275862069,.429,5.137931034482759,14.862068965517242,.346,16.896551724137932,24.517241379310345,.689,11.448275862068966,35.51724137931034,8.931034482758621,7.241379310344827,2.413793103448276,17.379310344827587,23.733333333333334,False
Binghamton,28,9,19,.321,-9.40,64.67857142857143,69.14285714285714,22.178571428571427,54.82142857142857,.405,6.928571428571429,20.321428571428573,.341,13.392857142857142,18.892857142857142,.709,11.071428571428571,33.714285714285715,11.428571428571429,6.321428571428571,4.464285714285714,15.785714285714286,23.733333333333334,False
Boise State,30,13,17,.433,2.09,62.56666666666667,65.76666666666667,22.5,54.36666666666667,.414,5.466666666666667,17.7,.309,12.1,17.433333333333334,.694,10.6,30.233333333333334,12.2,6.133333333333334,2.7666666666666666,14.2,23.733333333333334,False
Boston College NCAA,32,20,12,.625,5.91,73.5625,70.53125,25.03125,59.78125,.419,6.625,19.65625,.337,16.875,24.25,.696,14.125,37.25,13.46875,8.09375,3.3125,14.03125,23.733333333333334,True
Boston University NCAA,32,22,10,.688,-7.81,67.09375,63.96875,23.375,55.21875,.423,6.34375,17.71875,.358,14.0,20.34375,.688,12.28125,37.5,12.46875,6.0,2.625,12.96875,23.733333333333334,True
Bowling Green State,33,24,9,.727,1.46,74.66666666666667,67.81818181818181,25.272727272727273,51.78787878787879,.488,6.151515151515151,15.757575757575758,.390,17.96969696969697,23.96969696969697,.750,9.303030303030303,32.21212121212121,14.333333333333334,6.333333333333333,2.8181818181818183,14.0,23.733333333333334,False
Bradley,29,9,20,.310,0.73,60.6551724137931,64.93103448275862,20.24137931034483,52.0,.389,4.620689655172414,14.862068965517242,.311,15.551724137931034,21.724137931034484,.716,11.551724137931034,35.13793103448276,10.724137931034482,6.068965517241379,3.4482758620689653,14.310344827586206,23.733333333333334,False
Brigham Young,30,18,12,.600,5.35,70.5,65.03333333333333,23.7,50.46666666666667,.470,5.666666666666667,14.266666666666667,.397,17.433333333333334,22.933333333333334,.760,8.833333333333334,33.333333333333336,14.0,5.266666666666667,3.066666666666667,13.733333333333333,23.733333333333334,False
Brown,27,17,10,.630,-5.89,77.4074074074074,73.96296296296296,26.51851851851852,58.074074074074076,.457,6.074074074074074,16.333333333333332,.372,18.296296296296298,24.296296296296298,.753,11.296296296296296,35.074074074074076,16.59259259259259,9.074074074074074,2.962962962962963,14.25925925925926,23.733333333333334,False
Bucknell,29,13,16,.448,-7.07,61.758620689655174,64.93103448275862,21.586206896551722,50.37931034482759,.428,5.413793103448276,15.758620689655173,.344,13.172413793103448,21.17241379310345,.622,10.517241379310345,33.06896551724138,12.448275862068966,7.068965517241379,2.896551724137931,16.551724137931036,23.733333333333334,False
Buffalo,30,12,18,.400,-0.48,67.26666666666667,69.56666666666666,23.233333333333334,55.733333333333334,.417,6.6,19.333333333333332,.341,14.2,21.733333333333334,.653,13.033333333333333,35.8,13.033333333333333,6.366666666666666,2.2333333333333334,15.5,23.733333333333334,False
Butler,32,26,6,.813,-0.40,70.34375,57.78125,24.625,54.46875,.452,8.75,22.84375,.383,12.34375,18.0625,.683,9.625,30.71875,14.625,7.8125,2.3125,10.0625,23.733333333333334,False
